movie_id,title,genres,tmdb_id,overview,poster_path,release_date,runtime,budget,revenue,keywords,cast,director
1,Toy Story,Animation|Children|Comedy,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-10-30,81,30000000,394436586,"['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'lighthearted', 'история игрушек pixar']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn']",John Lasseter
2,GoldenEye,Action|Adventure|Thriller,710,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-16,130,60000000,352194034,"['computer virus', 'cuba', 'falsely accused', 'secret intelligence service', 'secret identity', 'secret base', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker']",Martin Campbell
3,Four Rooms,Thriller,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,1995-12-09,98,4000000,4257354,"['hotel', ""new year's eve"", 'witch', 'bet', 'sperm', 'hotel room', 'anthology', 'los angeles, california', 'hoodlum', 'multiple storylines', 'woman director']","['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino', 'David Proval']",Robert Rodriguez
4,Get Shorty,Action|Comedy|Drama,8012,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,1995-10-20,105,30250000,115101622,"['based on novel or book', 'miami, florida', 'gambling', 'gangster', 'money', 'murder', 'travel', 'mobster', 'mafia', 'business', 'debt', 'hollywood', 'drugs', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina']",Barry Sonnenfeld
5,Copycat,Crime|Drama|Thriller,1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg,1995-10-27,124,20000000,32000000,"['police brutality', 'psychology', 'police operation', 'police protection', 'psychologist', 'serial killer', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara', 'Harry Connick Jr.']",Jon Amiel
6,Shanghai Triad,Drama,37557,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-09-14,108,2300000,0,"['shanghai, china', 'chinese mafia', 'coming of age', 'mistress', 'criminal underworld', 'drug lord', 'triad', 'modern china', 'nightclub singer', '1930s', 'cabaret singer', 'chinese triad']","['Gong Li', 'Li Baotian', 'Sun Chun', 'Li Xuejian', 'Liu Jiang']",Zhang Yimou
7,Twelve Monkeys,Drama|Sci-Fi,63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,1995-12-29,129,29000000,168841459,"['biological weapon', 'philadelphia, pennsylvania', 'schizophrenia', 'stockholm syndrome', 'airplane', 'world war i', 'underground', 'insanity', 'asylum', 'paranoia', 'prison cell', 'dystopia', 'pimp', 'lion', 'post-apocalyptic future', 'time travel', 'florida keys', 'mental breakdown', 'past', 'dormitory', 'insane asylum', 'cockroach', 'volunteer', 'drug use', 'flashback', 'remake', 'psychiatric hospital', 'jail', 'mental institution', 'alternate history', 'disease', 'lethal virus', 'paradox', 'psychiatrist', 'monkey', 'epidemic', 'trapped', 'falling down stairs', 'street life', 'nonlinear timeline', 'medical research', 'tooth', 'pantyhose', 'gas mask', 'psychosis', ""child's point of view"", 'subterranean', 'virus', 'mysterious', 'recurring dream', '1990s', 'reflective', 'escaped animal', 'future noir', '2030s', 'complicated', 'ominous']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse']",Terry Gilliam
8,Babe,Children|Comedy|Drama,9598,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,1995-07-18,92,30000000,254100000,"['farm', 'sheep', 'pig', 'alarm clock', 'cat', 'duck', 'heroism', 'affection', 'piglet', 'anthropomorphism', ""based on children's book"", 'dog', 'separation', 'farmer', 'grandson', 'sheepdog', 'talking pig', 'christmas']","['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn']",Chris Noonan
9,Dead Man Walking,Drama,687,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg,1995-12-29,122,11000000,39363635,"['prison', 'death penalty', 'right and justice', 'rape', 'rage and hate', 'unsociability', 'court case', 'court', 'nun', 'penalty', 'therapist', 'sentence', 'forgiveness', 'self-discovery', 'despair', 'prison cell', 'socially deprived family', 'death row', 'doomed man', 'death sentence', 'lethal injection', 'charity', 'mercy petition', 'cowardliness', 'angry', 'dreary', 'incredulous', 'depressing', 'bitter', 'callous', 'horrified']","['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",Tim Robbins
10,Richard III,Drama|War,31174,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",https://image.tmdb.org/t/p/w500/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,104,0,2748518,"['england', 'kidnapping', 'murder', 'king']","['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Robert Downey Jr.', 'Kristin Scott Thomas']",Richard Loncraine
