title,genres,movie_id
Toy Story (1995),Animation|Children's|Comedy,0
Jumanji (1995),Adventure|Children's|Fantasy,1
Grumpier Old Men (1995),Comedy|Romance,2
Waiting to Exhale (1995),Comedy|Drama,3
Father of the Bride Part II (1995),Comedy,4
Heat (1995),Action|Crime|Thriller,5
Sabrina (1995),Comedy|Romance,6
Tom and Huck (1995),Adventure|Children's,7
Sudden Death (1995),Action,8
GoldenEye (1995),Action|Adventure|Thriller,9
"American President, The (1995)",Comedy|Drama|Romance,10
Dracula: Dead and Loving It (1995),Comedy|Horror,11
Balto (1995),Animation|Children's,12
Nixon (1995),Drama,13
Cutthroat Island (1995),Action|Adventure|Romance,14
Casino (1995),Drama|Thriller,15
Sense and Sensibility (1995),Drama|Romance,16
Four Rooms (1995),Thriller,17
Ace Ventura: When Nature Calls (1995),Comedy,18
Money Train (1995),Action,19
Get Shorty (1995),Action|Comedy|Drama,20
Copycat (1995),Crime|Drama|Thriller,21
Assassins (1995),Thriller,22
Powder (1995),Drama|Sci-Fi,23
Leaving Las Vegas (1995),Drama|Romance,24
Othello (1995),Drama,25
Now and Then (1995),Drama,26
Persuasion (1995),Romance,27
"City of Lost Children, The (1995)",Adventure|Sci-Fi,28
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,29
Dangerous Minds (1995),Drama,30
Twelve Monkeys (1995),Drama|Sci-Fi,31
Wings of Courage (1995),Adventure|Romance,32
Babe (1995),Children's|Comedy|Drama,33
Carrington (1995),Drama|Romance,34
Dead Man Walking (1995),Drama,35
Across the Sea of Time (1995),Documentary,36
It Takes Two (1995),Comedy,37
Clueless (1995),Comedy|Romance,38
"Cry, the Beloved Country (1995)",Drama,39
Richard III (1995),Drama|War,40
Dead Presidents (1995),Action|Crime|Drama,41
Restoration (1995),Drama,42
Mortal Kombat (1995),Action|Adventure,43
To Die For (1995),Comedy|Drama,44
How to Make an American Quilt (1995),Drama|Romance,45
Seven (Se7en) (1995),Crime|Thriller,46
Pocahontas (1995),Animation|Children's|Musical|Romance,47
When Night Is Falling (1995),Drama|Romance,48
"Usual Suspects, The (1995)",Crime|Thriller,49
Guardian Angel (1994),Action|Drama|Thriller,50
Mighty Aphrodite (1995),Comedy,51
Lamerica (1994),Drama,52
"Big Green, The (1995)",Children's|Comedy,53
Georgia (1995),Drama,54
Kids of the Round Table (1995),Adventure|Children's|Fantasy,55
Home for the Holidays (1995),Drama,56
"Postino, Il (The Postman) (1994)",Drama|Romance,57
"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,58
"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,59
Eye for an Eye (1996),Drama|Thriller,60
Mr. Holland's Opus (1995),Drama,61
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,62
Two if by Sea (1996),Comedy|Romance,63
Bio-Dome (1996),Comedy,64
Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,65
Two Bits (1995),Drama,66
French Twist (Gazon maudit) (1995),Comedy|Romance,67
Friday (1995),Comedy,68
From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,69
Fair Game (1995),Action,70
Kicking and Screaming (1995),Comedy|Drama,71
"Misérables, Les (1995)",Drama|Musical,72
Bed of Roses (1996),Drama|Romance,73
Big Bully (1996),Comedy|Drama,74
Screamers (1995),Sci-Fi|Thriller,75
Nico Icon (1995),Documentary,76
"Crossing Guard, The (1995)",Drama,77
"Juror, The (1996)",Drama|Thriller,78
"White Balloon, The (Badkonake Sefid ) (1995)",Drama,79
Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,80
Antonia's Line (Antonia) (1995),Drama,81
Once Upon a Time... When We Were Colored (1995),Drama,82
Last Summer in the Hamptons (1995),Comedy|Drama,83
Angels and Insects (1995),Drama|Romance,84
White Squall (1996),Adventure|Drama,85
Dunston Checks In (1996),Children's|Comedy,86
Black Sheep (1996),Comedy,87
Nick of Time (1995),Action|Thriller,88
"Journey of August King, The (1995)",Drama,89
Mary Reilly (1996),Drama|Thriller,90
Vampire in Brooklyn (1995),Comedy|Romance,91
Beautiful Girls (1996),Drama,92
Broken Arrow (1996),Action|Thriller,93
In the Bleak Midwinter (1995),Comedy,94
"Hate (Haine, La) (1995)",Drama,95
Shopping (1994),Action|Thriller,96
Heidi Fleiss: Hollywood Madam (1995),Documentary,97
City Hall (1996),Drama|Thriller,98
Bottle Rocket (1996),Comedy,99
Mr. Wrong (1996),Comedy,100
Unforgettable (1996),Thriller,101
Happy Gilmore (1996),Comedy,102
"Bridges of Madison County, The (1995)",Drama|Romance,103
Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,104
Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,105
Catwalk (1995),Documentary,106
Headless Body in Topless Bar (1995),Comedy,107
Braveheart (1995),Action|Drama|War,108
Taxi Driver (1976),Drama|Thriller,109
Rumble in the Bronx (1995),Action|Adventure|Crime,110
Before and After (1996),Drama|Mystery,111
Margaret's Museum (1995),Drama,112
Happiness Is in the Field (1995),Comedy,113
Anne Frank Remembered (1995),Documentary,114
"Young Poisoner's Handbook, The (1995)",Crime,115
If Lucy Fell (1996),Comedy|Romance,116
"Steal Big, Steal Little (1995)",Comedy,117
Race the Sun (1996),Drama,118
"Boys of St. Vincent, The (1993)",Drama,119
Boomerang (1992),Comedy|Romance,120
Chungking Express (1994),Drama|Mystery|Romance,121
"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,122
Flirting With Disaster (1996),Comedy,123
"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,124
"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,125
Jupiter's Wife (1994),Documentary,126
Pie in the Sky (1995),Comedy|Romance,127
Angela (1995),Drama,128
Frankie Starlight (1995),Drama|Romance,129
Jade (1995),Thriller,130
Nueba Yol (1995),Comedy|Drama,131
Sonic Outlaws (1995),Documentary,132
Down Periscope (1996),Comedy,133
From the Journals of Jean Seberg (1995),Documentary,134
Man of the Year (1995),Documentary,135
"Neon Bible, The (1995)",Drama,136
Target (1995),Action|Drama,137
Up Close and Personal (1996),Drama|Romance,138
"Birdcage, The (1996)",Comedy,139
Shadows (Cienie) (1988),Drama,140
Gospa (1995),Drama,141
"Brothers McMullen, The (1995)",Comedy,142
Bad Boys (1995),Action,143
"Amazing Panda Adventure, The (1995)",Adventure|Children's,144
"Basketball Diaries, The (1995)",Drama,145
"Awfully Big Adventure, An (1995)",Drama,146
Amateur (1994),Crime|Drama|Thriller,147
Apollo 13 (1995),Drama,148
Rob Roy (1995),Drama|Romance|War,149
"Addiction, The (1995)",Horror,150
Batman Forever (1995),Action|Adventure|Comedy|Crime,151
Belle de jour (1967),Drama,152
Beyond Rangoon (1995),Drama|War,153
Blue in the Face (1995),Comedy,154
Canadian Bacon (1994),Comedy|War,155
