gender,age,occupation,zip_code,user_id
F,1,10,48067,0
M,56,16,70072,1
M,25,15,55117,2
M,45,7,02460,3
M,25,20,55455,4
F,50,9,55117,5
M,35,1,06810,6
M,25,12,11413,7
M,25,17,61614,8
F,35,1,95370,9
F,25,1,04093,10
M,25,12,32793,11
M,45,1,93304,12
M,35,0,60126,13
M,25,7,22903,14
F,35,0,20670,15
M,50,1,95350,16
F,18,3,95825,17
M,1,10,48073,18
M,25,14,55113,19
M,18,16,99353,20
M,18,15,53706,21
M,35,0,90049,22
F,25,7,10023,23
M,18,4,01609,24
M,25,7,23112,25
M,25,11,19130,26
F,25,1,14607,27
M,35,7,33407,28
F,35,7,19143,29
M,56,7,06840,30
F,25,0,19355,31
M,45,3,55421,32
F,18,0,02135,33
M,45,1,02482,34
M,25,3,94123,35
F,25,9,66212,36
F,18,4,02215,37
M,18,4,61820,38
M,45,0,10543,39
F,18,4,15116,40
M,25,8,24502,41
M,25,12,60614,42
M,45,17,98052,43
F,45,16,94110,44
M,18,19,75602,45
M,18,4,94305,46
M,25,4,92107,47
M,18,12,77084,48
F,25,2,98133,49
F,1,10,10562,50
M,18,4,72212,51
M,25,0,96931,52
M,50,1,56723,53
F,35,12,55303,54
M,35,20,60440,55
M,18,19,30350,56
M,25,2,30303,57
F,50,1,55413,58
M,50,1,72118,59
M,25,17,95122,60
F,35,3,98105,61
M,18,4,54902,62
M,18,1,53706,63
M,35,12,55803,64
M,25,18,57706,65
F,50,5,60181,66
M,18,4,53706,67
F,25,1,02143,68
M,18,4,53703,69
M,25,14,95008,70
F,45,0,55122,71
M,18,4,53706,72
M,35,14,94530,73
F,1,10,01748,74
M,35,7,55413,75
M,18,4,15321,76
F,45,1,98029,77
F,45,0,98103,78
M,56,1,49327,79
F,25,0,60640,80
M,25,17,48380,81
F,25,2,94609,82
M,18,4,53140,83
M,18,4,94945,84
F,1,10,54467,85
M,25,14,48360,86
F,45,1,02476,87
F,56,9,85749,88
M,56,13,85749,89
M,35,7,07650,90
F,18,4,44243,91
M,25,17,95825,92
M,25,17,28601,93
M,45,0,98201,94
F,25,16,78028,95
F,35,3,66210,96
F,35,7,33547,97
F,1,10,19390,98
M,35,17,95401,99
F,18,3,33314,100
M,35,19,20871,101
M,45,7,92104,102
M,25,12,00926,103
M,45,12,90277,104
F,35,11,79101,105
M,45,18,63129,106
M,25,12,30316,107
M,45,15,92028,108
M,25,2,90803,109
M,35,15,55416,110
M,25,16,97209,111
M,18,12,37032,112
F,25,2,83712,113
M,25,17,28083,114
M,25,17,55744,115
M,25,17,33314,116
M,35,17,22315,117
F,1,10,77515,118
M,25,11,27106,119
M,35,7,75229,120
F,18,4,94305,121
M,35,9,67208,122
M,56,7,91356,123
M,45,14,01701,124
M,18,9,98117,125
F,45,3,01770,126
M,56,6,37922,127
M,25,11,20164,128
M,35,17,50021,129
M,18,4,06520,130
M,25,17,99709,131
F,25,0,55071,132
M,25,0,66212,133
M,18,4,20006,134
M,18,2,21202,135
F,45,6,78758,136
M,18,20,22203,137
F,25,20,45409,138
F,35,1,55107,139
M,35,13,62035,140
M,25,7,10011,141
M,18,3,64043,142
M,25,17,29401,143
M,18,4,19081,144
F,35,20,10954,145
M,18,4,91360,146
M,50,17,57747,147
M,25,1,29205,148
M,35,7,98144,149
F,25,20,85013,150
M,18,4,48104,151
M,1,10,51537,152
M,50,20,94530,153
M,35,12,07470,154
F,45,7,14519,155
M,35,16,12866,156
M,56,7,28754,157
F,45,0,37922,158
M,35,7,13021,159
M,45,16,98107-2117,160
F,18,4,93117,161
M,18,4,85013,162
F,56,13,94566,163
M,18,16,98502,164
M,18,4,92802,165
F,25,11,10022,166
F,50,0,46970,167
M,25,7,55439,168
M,25,11,07002,169
F,50,17,55441,170
M,25,3,07661,171
M,25,0,45237,172
M,25,16,21203,173
F,25,2,95123,174
F,18,3,55016,175
M,50,1,54016,176
M,56,17,53705,177
M,25,0,02135,178
M,45,12,01603,179
M,18,17,33186,180
M,18,4,03052,181
F,45,1,55407,182
F,25,0,19001,183
M,45,0,14468,184
M,18,5,91767,185
F,45,1,94061,186
M,56,16,79930,187
M,18,0,60076,188
M,25,17,55125,189
M,18,4,04915,190
M,18,1,10977,191
F,45,15,44106,192
F,1,10,29146,193
M,25,12,10458,194
F,35,9,94587,195
M,18,14,10023,196
M,25,12,55108,197
M,18,4,83706,198
F,18,4,84321,199
F,35,2,55117,200
M,18,4,53706,201
F,18,4,53715,202
M,25,7,92123,203
M,35,12,97333,204
M,25,17,20194,205
M,25,12,94115,206
M,35,17,55432,207
M,35,1,90048,208
F,1,10,25801,209
M,45,17,90620,210
M,25,16,53714,211
F,18,4,01609,212
M,18,20,80218,213
M,35,14,92075,214
M,45,13,52761,215
M,18,4,22903,216
M,35,14,95822,217
